City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
53,Tuatapere,NZ,2020-04-18 03:17:22,-46.13,167.68,60.01,51,34,8.99,scattered clouds,0.0,0.0
54,Kapaa,US,2020-04-18 03:17:23,22.08,-159.32,80.6,65,1,12.75,clear sky,0.0,0.0
55,Dikson,RU,2020-04-18 03:17:23,73.51,80.55,25.12,97,91,14.9,overcast clouds,0.0,0.0
56,Turbat,PK,2020-04-18 03:17:23,26.0,63.04,79.88,45,0,2.8,clear sky,0.0,0.0
57,Yellowknife,CA,2020-04-18 03:14:35,62.46,-114.35,24.8,68,75,6.93,broken clouds,0.0,0.0
58,Sheregesh,RU,2020-04-18 03:17:23,52.92,87.99,42.37,53,0,7.49,clear sky,0.0,0.0
59,Saint George,US,2020-04-18 03:17:24,37.1,-113.58,69.8,26,40,5.82,scattered clouds,0.0,0.0
60,Pevek,RU,2020-04-18 03:17:24,69.7,170.31,8.28,93,23,9.26,few clouds,0.0,0.0
61,Bredasdorp,ZA,2020-04-18 03:17:24,-34.53,20.04,57.99,87,100,4.7,overcast clouds,0.0,0.0
62,Provideniya,RU,2020-04-18 03:16:13,64.38,-173.3,26.51,95,100,20.11,light snow,0.0,0.19
63,Mahebourg,MU,2020-04-18 03:17:25,-20.41,57.7,77.0,83,75,12.75,shower rain,0.0,0.0
64,Dustlik,UZ,2020-04-18 03:17:25,40.52,68.04,62.98,45,0,1.92,clear sky,0.0,0.0
65,Griffith,US,2020-04-18 03:17:25,41.53,-87.42,35.6,100,1,5.46,clear sky,0.0,0.0
66,Matagami,CA,2020-04-18 03:17:25,49.75,-77.63,21.2,79,1,4.7,clear sky,0.0,0.0
67,Hithadhoo,MV,2020-04-18 03:17:26,-0.6,73.08,83.88,79,10,14.45,light rain,0.42,0.0
68,Chuy,UY,2020-04-18 03:14:40,-33.7,-53.46,60.62,83,2,5.37,clear sky,0.0,0.0
69,Hambantota,LK,2020-04-18 03:17:27,6.12,81.12,83.61,76,99,6.51,light rain,0.24,0.0
70,Malaga,ES,2020-04-18 03:13:31,36.72,-4.42,61.0,87,20,10.29,few clouds,0.0,0.0
71,New Norfolk,AU,2020-04-18 03:17:28,-42.78,147.06,55.99,70,93,1.99,light rain,0.17,0.0
72,Rancho Palos Verdes,US,2020-04-18 03:15:55,33.74,-118.39,60.01,87,40,10.09,scattered clouds,0.0,0.0
73,Oshawa,CA,2020-04-18 03:15:06,43.9,-78.85,33.01,86,75,4.65,broken clouds,0.0,0.0
74,Miranda,CO,2020-04-18 03:17:28,3.25,-76.23,71.6,78,75,4.7,broken clouds,0.0,0.0
75,Amarillo,US,2020-04-18 03:17:28,35.22,-101.83,48.0,52,1,8.05,clear sky,0.0,0.0
76,Huangchuan,CN,2020-04-18 03:17:29,32.13,115.04,55.27,81,100,14.16,light rain,1.03,0.0
77,Touros,BR,2020-04-18 03:17:29,-5.2,-35.46,77.0,94,20,8.28,few clouds,0.0,0.0
78,Hovd,MN,2020-04-18 03:17:29,48.01,91.64,45.5,35,0,3.13,clear sky,0.0,0.0
79,Barrow,US,2020-04-18 03:17:31,71.29,-156.79,10.4,85,40,18.34,scattered clouds,0.0,0.0
80,Atuona,PF,2020-04-18 03:17:31,-9.8,-139.03,82.35,75,84,13.06,broken clouds,0.0,0.0
81,Pizarro,CO,2020-04-18 03:16:03,4.95,-77.37,79.2,82,92,3.67,overcast clouds,0.0,0.0
82,Ilulissat,GL,2020-04-18 03:17:31,69.22,-51.1,26.6,73,100,4.7,overcast clouds,0.0,0.0
83,Solwezi,ZM,2020-04-18 03:17:32,-12.17,26.39,59.76,64,30,5.37,scattered clouds,0.0,0.0
84,Angoche,MZ,2020-04-18 03:17:32,-16.23,39.91,77.54,80,0,3.85,clear sky,0.0,0.0
85,La Rioja,ES,2020-04-18 03:17:32,42.25,-2.5,50.0,93,95,1.43,overcast clouds,0.0,0.0
86,Kolpashevo,RU,2020-04-18 03:17:32,58.31,82.91,43.36,67,81,10.85,broken clouds,0.0,0.0
87,Husavik,IS,2020-04-18 03:17:33,66.04,-17.34,44.6,73,0,28.86,clear sky,0.0,0.0
88,Oktyabrskiy,RU,2020-04-18 03:17:33,54.48,53.47,37.72,78,99,13.51,light snow,0.0,0.59
89,Hermanus,ZA,2020-04-18 03:16:22,-34.42,19.23,57.99,77,84,5.01,broken clouds,0.0,0.0
90,Port Elizabeth,ZA,2020-04-18 03:14:02,-33.92,25.57,60.8,87,20,4.7,few clouds,0.0,0.0
91,Sao Felix Do Xingu,BR,2020-04-18 03:17:35,-6.64,-51.99,70.65,92,100,1.28,overcast clouds,0.0,0.0
92,Cayenne,GF,2020-04-18 03:14:43,4.93,-52.33,75.2,100,75,6.6,mist,0.0,0.0
93,Richards Bay,ZA,2020-04-18 03:17:36,-28.78,32.04,67.15,82,0,6.24,clear sky,0.0,0.0
94,Sitka,US,2020-04-18 03:17:36,57.05,-135.33,50.0,76,75,3.36,broken clouds,0.0,0.0
95,Luwuk,ID,2020-04-18 03:17:36,-0.95,122.79,86.88,65,87,1.36,light rain,0.26,0.0
96,Dingle,PH,2020-04-18 03:17:36,11.0,122.67,89.1,58,39,13.56,light rain,0.21,0.0
97,Waipawa,NZ,2020-04-18 03:15:52,-41.41,175.52,64.4,63,1,20.8,clear sky,0.0,0.0
98,Dwarka,IN,2020-04-18 03:16:27,22.24,68.97,80.53,75,0,11.83,clear sky,0.0,0.0
99,Bolgatanga,GH,2020-04-18 03:17:37,10.79,-0.85,89.76,46,91,11.63,overcast clouds,0.0,0.0
100,Zyryanka,RU,2020-04-18 03:17:37,65.75,150.85,5.22,92,100,20.49,light snow,0.0,0.4
101,Hervey Bay,AU,2020-04-18 03:17:38,-25.3,152.85,89.6,40,80,4.7,broken clouds,0.0,0.0
102,Sambava,MG,2020-04-18 03:17:38,-14.27,50.17,73.76,85,57,8.16,light rain,0.32,0.0
103,Saint-Philippe,RE,2020-04-18 03:17:38,-21.36,55.77,73.4,73,38,10.29,light rain,0.98,0.0
104,Puerto Ayora,EC,2020-04-18 03:14:27,-0.74,-90.35,75.99,94,82,6.33,light rain,1.53,0.0
105,Roald,NO,2020-04-18 03:15:43,62.58,6.13,34.0,92,4,5.82,clear sky,0.0,0.0
106,Flinders,AU,2020-04-18 03:17:39,-34.58,150.86,72.0,48,0,1.99,clear sky,0.0,0.0
107,Carnarvon,AU,2020-04-18 03:17:39,-24.87,113.63,80.6,74,95,10.29,overcast clouds,0.0,0.0
108,Andenes,NO,2020-04-18 03:17:39,69.31,16.12,37.4,93,100,11.41,light rain,0.65,0.0
109,Laguna,US,2020-04-18 03:17:39,38.42,-121.42,57.99,67,20,9.17,few clouds,0.0,0.0
