City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Saldanha,ZA,2020-04-15 05:21:31,-33.01,17.94,55.4,87,100,3.36
70,Kumeny,RU,2020-04-15 05:24:02,58.11,49.92,41.25,82,62,13.56
71,Neiafu,TO,2020-04-15 05:24:03,-18.65,-173.98,80.6,88,75,5.82
72,Hilo,US,2020-04-15 05:24:03,19.73,-155.09,75.2,78,75,4.7
73,Alamosa,US,2020-04-15 05:24:03,37.47,-105.87,32.0,28,1,9.17
74,Arraial Do Cabo,BR,2020-04-15 05:24:03,-22.97,-42.03,75.15,83,93,18.54
75,Castro,BR,2020-04-15 05:24:04,-24.79,-50.01,48.81,68,0,2.06
76,Sitka,US,2020-04-15 05:24:04,57.05,-135.33,44.6,93,90,1.05
77,Oksfjord,NO,2020-04-15 05:24:04,70.24,22.35,32.0,94,75,14.99
78,Labuhan,ID,2020-04-15 05:24:04,-6.88,112.21,87.53,65,13,5.06
79,Bredasdorp,ZA,2020-04-15 05:24:04,-34.53,20.04,55.4,93,78,3.36
80,Isangel,VU,2020-04-15 05:24:05,-19.55,169.27,80.33,78,100,8.79
81,Severo-Kurilsk,RU,2020-04-15 05:21:18,50.68,156.12,31.82,93,100,12.01
82,Codrington,AU,2020-04-15 05:24:05,-38.27,141.97,72.52,37,100,11.14
83,Barabai,ID,2020-04-15 05:24:05,-2.58,115.38,93.24,52,41,2.44
84,Mimongo,GA,2020-04-15 05:24:05,-1.62,11.61,71.92,81,100,0.76
85,Makakilo City,US,2020-04-15 05:24:06,21.35,-158.09,77.0,88,1,3.36
86,Boguchany,RU,2020-04-15 05:24:06,58.38,97.45,55.17,52,12,4.99
87,Payyannur,IN,2020-04-15 05:24:06,12.1,75.2,87.8,79,20,4.7
88,Souillac,MU,2020-04-15 05:24:06,-20.52,57.52,79.0,78,75,17.22
89,Upernavik,GL,2020-04-15 05:24:06,72.79,-56.15,18.93,92,97,5.06
90,Vaini,TO,2020-04-15 05:24:07,-21.2,-175.2,78.8,78,40,4.7
91,Lebu,CL,2020-04-15 05:24:07,-37.62,-73.65,52.48,74,100,3.11
92,Naze,JP,2020-04-15 05:24:07,28.37,129.48,69.8,56,75,10.29
93,Hithadhoo,MV,2020-04-15 05:24:07,-0.6,73.08,84.97,65,34,1.86
94,Hami,CN,2020-04-15 05:24:07,42.8,93.45,76.35,18,48,4.38
95,Deputatskiy,RU,2020-04-15 05:24:08,69.3,139.9,1.6,88,100,4.43
96,Albany,US,2020-04-15 05:21:08,42.6,-73.97,42.8,41,90,4.7
97,Thompson,CA,2020-04-15 05:23:40,55.74,-97.86,6.8,55,5,3.36
98,Florianopolis,BR,2020-04-15 05:24:08,-27.61,-48.5,66.2,63,20,12.75
99,Vao,NC,2020-04-15 05:24:08,-22.67,167.48,74.64,77,92,15.77
100,Hermanus,ZA,2020-04-15 05:24:09,-34.42,19.23,57.0,81,93,3.98
101,New Norfolk,AU,2020-04-15 05:19:26,-42.78,147.06,61.0,93,90,8.05
102,Watsa,CD,2020-04-15 05:24:09,3.04,29.54,71.53,59,100,2.15
103,Tazovskiy,RU,2020-04-15 05:24:09,67.47,78.7,16.2,90,4,9.17
104,Juneau,US,2020-04-15 05:19:19,58.3,-134.42,42.8,81,40,2.01
105,Shimoda,JP,2020-04-15 05:24:10,34.67,138.95,68.0,45,75,16.11
106,Radece,SI,2020-04-15 05:24:10,46.07,15.18,36.0,100,90,2.24
107,Jasper,US,2020-04-15 05:24:10,37.2,-94.35,41.0,74,1,8.05
108,Klaksvik,FO,2020-04-15 05:24:10,62.23,-6.59,46.4,93,93,11.41
109,Los Llanos De Aridane,ES,2020-04-15 05:20:57,28.66,-17.92,64.4,68,66,6.93
110,Pontes E Lacerda,BR,2020-04-15 05:24:11,-15.23,-59.34,68.86,88,99,3.38
111,Nikolskoye,RU,2020-04-15 05:24:11,59.7,30.79,35.01,82,90,6.71
112,Dikson,RU,2020-04-15 05:20:59,73.51,80.55,12.09,91,40,8.93
113,Cherskiy,RU,2020-04-15 05:24:11,68.75,161.3,7.48,94,98,8.41
114,Georgetown,MY,2020-04-15 05:22:19,5.41,100.34,91.4,66,20,5.82
115,Leningradskiy,RU,2020-04-15 05:24:11,69.38,178.42,13.3,95,100,1.95
116,Mahebourg,MU,2020-04-15 05:24:12,-20.41,57.7,79.0,78,75,17.22
117,Panambi,BR,2020-04-15 05:24:12,-28.29,-53.5,50.0,76,0,4.7
118,Husavik,IS,2020-04-15 05:24:12,66.04,-17.34,35.6,74,90,21.92
119,Hofn,IS,2020-04-15 05:24:12,64.25,-15.21,36.91,75,64,15.12
120,Bom Jesus,BR,2020-04-15 05:24:13,-9.07,-44.36,71.31,86,100,2.04
121,Santa Cruz Cabralia,BR,2020-04-15 05:22:22,-16.28,-39.02,73.4,94,2,4.7
122,Manggar,ID,2020-04-15 05:24:13,-2.88,108.27,84.88,71,46,5.77
123,Ilulissat,GL,2020-04-15 05:21:55,69.22,-51.1,24.8,73,93,6.93
124,Hay River,CA,2020-04-15 05:24:13,60.82,-115.8,32.0,97,90,5.82
125,Jalu,LY,2020-04-15 05:24:13,29.03,21.55,75.81,17,86,14.72
126,Moyamba,SL,2020-04-15 05:24:14,8.17,-12.43,77.29,90,91,2.3
127,Simpang,ID,2020-04-15 05:24:14,-1.27,104.08,86.34,67,95,8.57
128,Idlib,SY,2020-04-15 05:24:14,35.93,36.63,55.4,87,7,3.36
129,Bud,US,2020-04-15 05:24:14,39.45,-86.18,36.0,84,1,6.26
130,Skibbereen,IE,2020-04-15 05:24:14,51.55,-9.27,35.6,100,20,5.82
131,Lichtenburg,ZA,2020-04-15 05:24:15,-26.15,26.16,56.12,33,0,1.01
132,Talnakh,RU,2020-04-15 05:24:15,69.49,88.4,5.0,71,1,13.42
133,Pinawa,CA,2020-04-15 05:24:15,50.15,-95.88,14.11,84,15,3.89
134,Flinders,AU,2020-04-15 05:24:15,-34.58,150.86,84.99,42,41,9.17
135,Torbay,CA,2020-04-15 05:24:15,47.67,-52.73,39.99,93,90,16.11
136,Ekhabi,RU,2020-04-15 05:24:16,53.51,142.97,30.63,95,93,9.28
137,Sao Filipe,CV,2020-04-15 05:24:16,14.9,-24.5,71.53,77,89,12.68
138,Dingle,PH,2020-04-15 05:24:16,11.0,122.67,90.25,49,23,10.74
139,Marsh Harbour,BS,2020-04-15 05:24:17,26.54,-77.06,75.63,85,74,16.75
