City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Poya,NC,73.85,few clouds,-21.35,165.15,
307,Bredasdorp,ZA,73.4,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
309,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
319,The Valley,AI,81.0,shower rain,18.22,-63.06,CeBlue Villas & Beach Resort
323,Bahia Honda,CU,77.13,broken clouds,22.9,-83.16,Casa Gualberto - Deysi
326,Ambon,ID,84.2,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
331,Vila Do Maio,CV,77.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
332,Port Antonio,JM,80.6,scattered clouds,18.18,-76.46,Trident Hotel
341,San Patricio,MX,70.21,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
342,Opuwo,,88.97,clear sky,-18.06,13.84,ABBA Guesthouse
352,Hualmay,PE,72.48,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
355,Puerto Narino,CO,75.2,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
357,Wanning,CN,75.51,overcast clouds,18.8,110.4,Paradise Hotel
358,Bubaque,GW,81.3,scattered clouds,11.28,-15.83,Casa Dora
360,Dakar,SN,70.81,broken clouds,14.69,-17.44,Novotel Dakar
362,Port-Gentil,GA,82.4,thunderstorm,-0.72,8.78,Fengshui Residence
365,Mutoko,ZW,84.25,few clouds,-17.4,32.23,Nyamakwere Lodges
373,Dasoguz,TM,71.6,clear sky,41.84,59.97,Hotel Erik
375,Mizan Teferi,ET,84.9,broken clouds,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
377,Gat,IL,82.0,few clouds,31.61,34.76,אהבה ברווחה
385,Chimbote,PE,70.32,clear sky,-9.09,-78.58,Hotel Briliá
391,Geraldton,AU,71.6,broken clouds,-28.77,114.6,Broadwater Mariner Resort
393,Sohag,EG,89.6,clear sky,26.56,31.69,Civil Registry - Sohag 1
395,Port Elizabeth,ZA,73.4,broken clouds,-33.92,25.57,39 On Nile Guest House
398,Acarau,BR,82.49,few clouds,-2.89,-40.12,castelo pizzaria
402,Sal Rei,CV,75.2,scattered clouds,16.18,-22.92,Marine Club Beach Resort
403,Tecoanapa,MX,74.66,clear sky,16.52,-98.75,Hotel Manglares
404,Makakilo City,US,78.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
405,Saint-Georges,GD,78.8,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
406,Saint-Francois,FR,72.0,few clouds,46.42,3.91,Manoir Du Bonheur
409,San Pedro De Macoris,DO,78.01,scattered clouds,18.46,-69.3,Apartahotel Guaraguao
410,Port Hedland,AU,86.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
413,Doha,QA,82.0,few clouds,25.29,51.53,Ezdan Hotel
414,Najran,SA,84.2,few clouds,17.49,44.13,محمد هادي ال فطيح
417,Simao,CN,74.98,scattered clouds,22.79,100.97,Changyu Hotel
419,Seydi,TM,70.9,clear sky,39.48,62.91,
421,Jian,CN,74.05,clear sky,27.12,114.98,Luling International Hotel
424,Natal,BR,75.2,moderate rain,-5.79,-35.21,Villa Park Hotel | Natal
430,Cockburn Town,TC,78.76,few clouds,21.46,-71.14,Osprey Beach Hotel
434,Inirida,CO,76.68,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
435,Grootfontein,,84.24,clear sky,-19.57,18.12,Meteor Travel Inn
436,Boueni,YT,89.6,broken clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
451,Kroya,ID,82.6,clear sky,-7.63,109.25,RUSTANTO Fam
452,Port Blair,IN,84.42,overcast clouds,11.67,92.75,Hotel Sentinel
454,Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
455,Havre,FR,71.01,broken clouds,49.58,0.33,gite bois jourdain
460,Sagua De Tanamo,CU,77.45,clear sky,20.58,-75.24,
468,Manaure,CO,79.54,scattered clouds,11.78,-72.44,Del mar vendra
469,Bodden Town,KY,80.01,broken clouds,19.28,-81.25,Will T Place
470,Broken Hill,AU,71.6,few clouds,-31.95,141.43,Daydream Motel & Cottages
472,Siaya,KE,80.91,few clouds,0.06,34.29,Siala Apartments
475,Kavaratti,IN,85.82,few clouds,10.57,72.64,Bismillah Hotel And Lodging
480,Bani,DO,78.01,clear sky,18.28,-70.33,Hospedaje Henriquez
481,Akdepe,TM,73.4,clear sky,42.06,59.38,Мой дом
483,Olinda,BR,78.8,light rain,-8.01,-34.86,Hotel 5 Sóis
487,Moranbah,AU,70.7,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
490,Buraydah,SA,77.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
495,Envira,BR,71.92,overcast clouds,-7.3,-70.22,
511,Paita,PE,73.38,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
515,Simbahan,PH,83.34,scattered clouds,6.3,120.58,
516,Karratha,AU,84.78,scattered clouds,-20.74,116.85,ibis Styles Karratha
518,Altamira,BR,77.68,broken clouds,-3.2,-52.21,Requinte Hotel
522,Tura,IN,85.42,broken clouds,25.52,90.22,Hotel RIKMAN Continental
523,Shirvan,AZ,73.38,clear sky,39.95,48.9,Hotel Empire
526,Kahului,US,73.4,clear sky,20.89,-156.47,Maui Seaside Hotel
530,Santa Rosa,PH,87.01,broken clouds,14.31,121.11,Hungry Soles Studios
533,Tucupita,VE,79.52,scattered clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
538,San Andres,CO,80.6,few clouds,12.58,-81.7,Hotel Arena Blanca
540,Miramar,US,79.0,broken clouds,25.99,-80.23,Stadium Hotel
548,Kalaleh,IR,84.2,few clouds,37.38,55.49,عطر و ادکلن پارسیس
550,Camopi,GF,79.92,overcast clouds,3.17,-52.32,
557,Acari,PE,72.97,few clouds,-15.43,-74.62,Hospedaje Ximens
561,Kupang,ID,80.6,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
